1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
1	0	0	11	11	11	11	11	0	0	0	1	1	1	11	11	11	11	11	11	11	11	11	11	11	11	11	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	4_B	0	3	0	0	0	0	0	0	5_A	1	0	0	0	1	0	0	0	0	0	0	0	0
1	0	0	11	11	11	11	11	0	0	0	0	1	1	11	11	11	11	11	11	11	11	11	11	11	11	11	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1	0	0	11	11	11	11	11	0	0	0	0	0	1	5_C	11	11	11	11	11	11	11	11	11	11	11	11	1	0	0	11	11	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4_A	0	99	0	1	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	1	6	6	6	6	6	6	6	6	6	6	6	6	6	1	0	0	0	0	0	11	11	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	11	11	11	11	1	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	3	0	0	0	0	0	0	0	1	2	2	2	2	2	1	11	11	11	11	1	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	11	11	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
