1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1
1	0	99	0	4_0_N	0	4_0_B	0	4_0_R	0	0	0	0	0	0	0	0	0	1	1
1	0	0	0	4_0_N	0	4_0_B	0	4_0_R	0	0	0	0	0	0	0	0	5_0_N	1	1
1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	4_0_R	0	0	1	1	1	1	1
1	0	0	0	0	0	0	0	0	0	4_0_B	0	0	0	0	1	1	1	1	1
1	5_0_B	0	0	1	0	0	0	0	0	0	0	0	0	5_0_R	1	1	1	1	1
1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0	100	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
