1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1
1	0	0	0	0	0	99	0	1	1	0	0	0	1	0	0	0	1	1	1
1	0	0	0	1	1	1	1	1	1	0	0	0	4_0_B	0	0	0	1	1	1
1	0	0	0	4_0_A	0	0	0	1	1	0	0	0	4_0_B	0	5_0_A	0	1	1	1
1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1
1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1
1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1
1	0	100	0	0	0	0	5_90_B	1	1	0	0	0	0	0	0	0	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
